,XMLNZEUR,GNOEUR,NANOEUR,SCEUR,LSKEUR,MKREUR,GHSTEUR,PERPEUR,LRCEUR,MOVREUR,SDNEUR
1630798812.2645514,93.836000,256.830000,5.685000,0.019540,3.532507,2985.10000,1.601500,16.20400,0.428900,115.032800,4.97700
1630798843.5976834,93.836000,256.830000,5.685000,0.019510,3.532507,2985.10000,1.601500,16.20400,0.428900,115.032800,4.97700
1630798874.952249,93.836000,256.830000,5.685000,0.019510,3.532507,2985.10000,1.601500,16.20400,0.428900,115.004900,4.97700
1630798906.3447018,93.836000,256.830000,5.685000,0.019510,3.532507,2985.10000,1.601500,16.20400,0.428900,115.006700,4.97700
1630798937.6851776,93.836000,256.830000,5.696553,0.019520,3.532507,2985.10000,1.601500,16.20400,0.428900,115.006700,4.97700
1630798969.1664941,93.836000,256.830000,5.696553,0.019520,3.532507,2985.10000,1.601500,16.20400,0.428900,115.006700,4.97700
1630799000.5326746,93.836000,256.830000,5.696553,0.019520,3.532507,2985.10000,1.601500,16.20400,0.428900,115.006700,4.91800
1630799031.8646944,93.836000,256.830000,5.696553,0.019580,3.532507,2985.10000,1.601500,16.20400,0.428900,115.006700,4.91800
1630799063.2166874,93.836000,256.830000,5.696553,0.019610,3.532507,2985.10000,1.601500,16.20400,0.428900,115.006700,4.96200
1630799094.580707,93.836000,259.620000,5.696553,0.019750,3.532507,2985.10000,1.601500,16.20400,0.428900,115.006700,4.96200
1630799125.9381316,93.836000,259.620000,5.680430,0.019770,3.532507,2985.10000,1.601500,16.20400,0.428900,115.006700,4.90100
1630799157.2766821,93.836000,259.620000,5.680430,0.019670,3.532507,2985.10000,1.601500,16.20400,0.428900,117.133800,4.91900
1630799188.6211307,94.433000,259.620000,5.680286,0.019770,3.532507,2985.10000,1.601500,16.20400,0.428900,117.133800,4.90000
1630799220.0126772,94.433000,259.620000,5.680286,0.019920,3.532507,2985.10000,1.601500,16.20400,0.428900,117.133800,4.88600
1630799251.4155486,94.433000,259.620000,5.680286,0.020000,3.532507,2985.10000,1.601500,16.24100,0.428900,117.133800,4.87200
1630799282.8286843,94.433000,259.620000,5.680000,0.020000,3.532507,2985.10000,1.601500,16.24100,0.428900,117.133800,4.87200
1630799314.335568,94.433000,259.620000,5.682349,0.020110,3.556706,2985.10000,1.601500,16.24100,0.428900,117.133800,4.87000
1630799345.658336,94.433000,259.620000,5.682349,0.020190,3.556706,2985.10000,1.601500,16.24100,0.428900,117.133800,4.87000
1630799377.0246887,94.433000,259.620000,5.678320,0.020370,3.556706,2985.10000,1.601500,16.24100,0.428900,117.133800,4.87000
1630799408.361754,94.433000,259.620000,5.686828,0.020350,3.556706,2985.10000,1.601500,16.24100,0.428900,117.133800,4.87000
1630799439.8046777,94.433000,259.620000,5.686828,0.020190,3.556706,2985.10000,1.601500,16.24100,0.428900,117.133800,4.86500
1630799471.164681,94.433000,259.620000,5.686828,0.020190,3.556706,2985.10000,1.601500,16.24100,0.428900,117.133800,4.86500
1630799502.560691,94.433000,259.620000,5.686828,0.020210,3.556706,2985.10000,1.601500,16.24100,0.428900,117.133800,4.95300
1630799533.916689,94.433000,259.620000,5.686828,0.020030,3.556706,2985.10000,1.601500,16.24100,0.428900,117.133800,4.96500
1630799565.2602153,94.433000,259.620000,5.686828,0.020100,3.556706,2985.10000,1.601500,16.24100,0.427900,117.133800,4.96500
1630799596.638134,94.433000,259.620000,5.686828,0.020170,3.556706,2985.10000,1.604800,16.24100,0.427900,117.133800,4.96500
1630799627.9966922,94.433000,259.620000,5.686828,0.020180,3.556706,2985.10000,1.604800,16.24100,0.427900,117.133800,4.96500
1630799659.364693,94.433000,259.620000,5.686828,0.020330,3.556706,2985.10000,1.604800,16.24100,0.427900,117.133800,4.96500
1630799690.7206864,94.433000,259.620000,5.686828,0.020190,3.556706,2985.10000,1.604800,16.24100,0.427900,117.133800,4.99000
1630799722.0909965,94.433000,259.620000,5.686828,0.020200,3.556706,2985.10000,1.604800,16.24100,0.427900,115.724100,4.99000
1630799753.4727025,94.433000,259.990000,5.686828,0.020120,3.556706,2985.10000,1.604800,16.24100,0.427900,115.724100,4.99000
1630799784.817651,94.433000,259.990000,5.686828,0.019920,3.556706,2985.10000,1.604800,16.24100,0.427900,115.724100,4.92500
1630799816.656722,93.817000,259.990000,5.686828,0.019920,3.556706,2985.10000,1.604800,16.24100,0.427900,115.724100,4.92500
1630799848.0286813,93.817000,259.990000,5.686828,0.019920,3.556706,2985.10000,1.604800,16.24100,0.427900,115.724100,4.92500
1630799879.4171157,93.817000,259.990000,5.686828,0.019980,3.556706,2985.10000,1.604800,16.24100,0.427900,115.724100,4.92500
1630799910.7766802,93.817000,259.990000,5.686828,0.019950,3.556706,2985.10000,1.604800,16.24100,0.427900,115.724100,4.92500
1630799942.1246824,93.817000,259.990000,5.686828,0.019990,3.556706,2985.10000,1.604800,16.24100,0.427900,115.724100,4.92500
1630799973.5868192,93.817000,259.990000,5.686828,0.019960,3.556706,2985.10000,1.604800,16.24100,0.427900,117.089500,4.92500
1630800004.964803,93.817000,259.990000,5.686828,0.020080,3.556706,2985.10000,1.604800,16.24100,0.427900,115.000200,4.88600
1630800036.3381279,93.817000,259.990000,5.686828,0.020170,3.556706,2985.10000,1.604800,16.24100,0.427900,115.000200,4.88000
1630800067.6943743,93.817000,259.990000,5.686828,0.019960,3.556706,2985.10000,1.604800,16.24100,0.427900,115.000200,4.88000
1630800099.0517864,93.817000,259.990000,5.686828,0.019920,3.556706,2985.10000,1.604800,16.24100,0.427900,115.000200,4.88000
1630800130.448693,93.817000,259.990000,5.675000,0.019820,3.556706,2985.10000,1.604800,16.24100,0.427900,115.000200,4.99000
1630800161.9526863,93.817000,259.990000,5.675000,0.019950,3.556706,2985.10000,1.604800,16.24100,0.427900,115.000200,4.99000
1630800193.4409714,93.817000,259.990000,5.675000,0.019860,3.556706,2985.10000,1.604800,16.24100,0.427900,115.000200,4.99000
1630800224.8286757,93.817000,259.990000,5.675000,0.019820,3.556706,2985.10000,1.604800,16.24100,0.427900,115.012900,4.99000
